PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions
Large Office,2014,1.0,6,Office,427181.0,99.0,16810854.0,213.7
Small- and Mid-Sized Office,2015,1.0,5,Office,25927.0,,2346692.5,65.01
Large Office,2015,1.0,10,Office,359040.0,,18760766.0,214.19
Hotel,2015,1.0,14,Hotel,159500.0,89.0,5547964.5,50.32
Large Office,2014,1.0,12,Office,341897.0,99.0,12926544.0,147.14
Mixed Use Property,2014,1.0,2,Office,11745.0,,670291.0,4.38
Other,2015,1.0,2,Parking,202171.0,,5298717.5,91.98
Large Office,2015,1.0,12,Office,342173.0,98.0,14409447.0,202.12
Warehouse,1955,1.0,1,Non-Refrigerated Warehouse,52085.0,37.0,4182621.75,157.7
Small- and Mid-Sized Office,1929,1.0,2,Office,24990.0,9.0,4731813.5,134.8
Other,2013,1.0,1,Other - Recreation,72000.0,,3198858.0,67.65
Mixed Use Property,2015,1.0,6,Other,151523.0,,41078600.0,1000.06
Other,1962,1.0,1,College/University,68916.0,,3180819.25,22.17
Mixed Use Property,2005,1.0,1,Other - Recreation,9900.0,,636965.5,4.44
Other,2013,1.0,1,Other,11685.0,,969142.0,29.18
Other,1911,1.0,1,Other - Recreation,8914.82,,990545.5,24.73
Other,1972,1.0,1,Other - Recreation,10912.0,,5370263.5,216.18
Other,1912,1.0,1,Other - Recreation,23445.0,,6716330.0,259.22
Other,1982,1.0,1,Other - Recreation,18261.0,,1025432.125,20.33
Other,2004,1.0,1,Other - Recreation,16000.0,,1053705.75,32.17
Other,1974,1.0,1,Other - Recreation,8914.82,,6053764.5,223.54
Mixed Use Property,1989,1.0,1,Other - Recreation,8914.82,,782841.3125,22.11
Mixed Use Property,1938,1.0,1,Other - Recreation,8914.82,,1293722.375,41.27
